VEND;CNPJ;CLIENTE;DIA;TIPO;LATITUDE;LONGITUDE
aurea;9,25E+12;O N DA SILVA COMERCIO D;05/05/2026;MANUTENCAO;-1,4542034;-48,4883742
aurea;1,59E+13;ORLANDINHO COM DE PECAS;08/05/2026;MANUTENCAO;-1,4029189;-48,4601362
aurea;6,38E+13;PERFINI INDUSTRIA E COM;13/05/2026;MANUTENCAO;-1,4453375;-48,4875414
aurea;6,28E+12;POBRE JUAN RESTAURANTE;13/05/2026;MANUTENCAO;-1,4461383;-48,4896874
aurea;1,80E+13;PONTUAL ESTALEIRO DE RE;07/05/2026;MANUTENCAO;-1,5335397;-48,6494144
aurea;5,29E+13;PORTAL MOTORES E PECAS;07/05/2026;MANUTENCAO;-1,456303;-48,5055454
aurea;7,61E+12;PPF COM E SERV EIRELI -;12/05/2026;MANUTENCAO;-1,2927289;-47,9304974
aurea;5,80E+13;PRIME COMERCIO E SERVIC;27/05/2026;MANUTENCAO;-1,434425;-48,4541053
aurea;5,80E+13;PRIME COMERCIO E SERVIC;27/05/2026;MANUTENCAO;-1,434425;-48,4541053
aurea;5,77E+13;R ALBUQUERQUE COMERCIO;08/05/2026;MANUTENCAO;-1,4049826;-48,434922
aurea;1,19E+13;R C DENTAL PRODUTOS ODO;04/05/2026;MANUTENCAO;-1,3634;-48,3912
aurea;5,25E+13;REDI ARTIGOS EDUCATIVOS;13/05/2026;MANUTENCAO;-1,4463307;-48,4897426
aurea;1,64E+13;RIFE COMERCIO VAREJISTA;13/05/2026;MANUTENCAO;-1,4449;-48,4819
aurea;5,17E+13;SCS COMERCIO DE ALIMENT;13/05/2026;MANUTENCAO;-1,4549323;-48,4957875
aurea;1,15E+13;SOLLID COMERCIO LTDA ME;21/05/2026;MANUTENCAO;-1,3465462;-48,4409452
aurea;1,32E+13;SPACO MIX ARMARINHO E V;06/05/2026;MANUTENCAO;-1,4541885;-48,5015829
aurea;3,34E+13;SULTAO RESTAURANTE E CO;13/05/2026;MANUTENCAO;-1,4434981;-48,4872422
aurea;3,47E+13;SUSHI BOULEVARD DELIVER;13/05/2026;MANUTENCAO;-1,4403;-48,4831
aurea;8,33E+13;UNINEURO UNIDADE DE NEU;15/05/2026;MANUTENCAO;-1,4358235;-48,4726741
aurea;7,85E+12;VALLE MATERIAIS ELETRIC;05/05/2026;MANUTENCAO;-1,4456877;-48,4924911
